Sample_ID	JG_OTU	Group
ZDP_0174a	Zmm-LR-AZUL-Mex-GOME	ZMMLR
ZDP_0178a	Zmm-LR-AZUL-Mex-GUER	ZMMLR
ZDP_1221b	Zmm-LR-AZUL-Mex-MATA-1	ZMMLR
ZDP_1481a	Zmm-LR-AZUL-Mex-MATA-2	ZMMLR
ZDP_0988a	Zmm-LR-AZUL-Mex-TOCO	ZMMLR
ZDP_0456a	Zmm-LR-BBLA-Ecu-CHIM	ZMMLR
ZDP_0368b	Zmm-LR-BBLA-Ecu-IMBA	ZMMLR
ZDP_0376a	Zmm-LR-BBLA-Ecu-LOJA	ZMMLR
BKN_003	Zmm-LR-BEAP-1_f	ZMMLR
BKN_004	Zmm-LR-BEAP-2_f	ZMMLR
ZDP_0396a	Zmm-LR-BHRD-Ecu	ZMMLR
ZDP_0417a	Zmm-LR-BHRD-Ecu-LOJA-1	ZMMLR
ZDP_0563a	Zmm-LR-BHRD-Ecu-LOJA-2	ZMMLR
ZDP_0727a	Zmm-LR-BLFT-usa-MN	ZMMLR
ZDP_0746b	Zmm-LR-BLFT-usa-ND-1	ZMMLR
ZDP_0756b	Zmm-LR-BLFT-usa-ND-2	ZMMLR
ZDP_1126a	Zmm-LR-BOFO-Mex-AMAT-1	ZMMLR
ZDP_1186a	Zmm-LR-BOFO-Mex-AMAT-2	ZMMLR
ZDP_1100a	Zmm-LR-BOFO-Mex-HUAZ	ZMMLR
ZDP_0496a	Zmm-LR-BOFO-Mex-ROSA	ZMMLR
ZDP_0280a	Zmm-LR-BOFO-Mex-SJDP-1_s	ZMMLR
ZDP_1008b	Zmm-LR-BOFO-Mex-SJDP-2	ZMMLR
ZDP_0040a	Zmm-LR-BOLA-Arg-HUMA-1	ZMMLR
ZDP_0048a	Zmm-LR-BOLA-Arg-HUMA-2	ZMMLR
ZDP_0639a	Zmm-LR-BOLI-Mex-AGUA	ZMMLR
ZDP_1066a	Zmm-LR-BOLI-Mex-CHIL	ZMMLR
ZDP_0650a	Zmm-LR-BOLI-Mex-ETLA	ZMMLR
S1823	Zmm-LR-BOLI-Mex-NOCH-1	ZMMLR
ZDP_0515a	Zmm-LR-BOLI-Mex-NOCH-2	ZMMLR
ZDP_0525a	Zmm-LR-BOLI-Mex-TEOT	ZMMLR
ZDP_0674b	Zmm-LR-BRZB-usa-WI	ZMMLR
ZDP_1184a	Zmm-LR-BSON-Mex-ABAJ	ZMMLR
